timestamp,amount,running_balance,month_year,category
2022-12-01 00:00:00+00:00,-0.01,54580.93,2022-12,fees and charges
2022-12-01 00:00:00+00:00,-0.01,54580.94,2022-12,transport
2022-12-01 00:00:00+00:00,-0.01,54580.95,2022-12,entertainment
2022-12-01 00:00:00+00:00,-0.01,54580.96,2022-12,fees and charges
2022-12-01 00:00:00+00:00,-19.51,54600.47,2022-12,groceries / food spend
2022-12-01 00:00:00+00:00,-22.2,54622.67,2022-12,transfer
2022-12-01 00:00:00+00:00,-12.54,54635.21,2022-12,business services
2022-12-01 00:00:00+00:00,-8.6,54643.81,2022-12,bills and utilities
2022-12-01 00:00:00+00:00,-10.0,54653.81,2022-12,finances
2022-12-01 00:00:00+00:00,-10.0,54663.81,2022-12,finances
2022-12-01 00:00:00+00:00,-10.0,54673.81,2022-12,bills and utilities
2022-11-28 00:00:00+00:00,420.0,54253.81,2022-11,transfer
2022-11-28 00:00:00+00:00,-36.59,54290.4,2022-11,shopping
2022-11-28 00:00:00+00:00,40.0,54250.4,2022-11,transfer
2022-11-28 00:00:00+00:00,-36.66,54287.06,2022-11,transfer
2022-11-28 00:00:00+00:00,23.28,54263.78,2022-11,taxes
2022-11-27 00:00:00+00:00,-7.93,54271.71,2022-11,transfer
2022-11-27 00:00:00+00:00,50.59,54221.12,2022-11,transfer
2022-11-27 00:00:00+00:00,15.86,54205.26,2022-11,transfer
2022-11-27 00:00:00+00:00,-17.66,54222.92,2022-11,transport
2022-11-27 00:00:00+00:00,-2.99,54225.91,2022-11,finances
2022-11-27 00:00:00+00:00,-6.65,54232.56,2022-11,groceries / food spend
2022-11-27 00:00:00+00:00,-8.26,54240.82,2022-11,shopping
2022-11-25 00:00:00+00:00,127.69,54113.13,2022-11,transfer
2022-11-25 00:00:00+00:00,-19.11,54132.24,2022-11,entertainment
2022-11-25 00:00:00+00:00,-16.54,54148.78,2022-11,transfer
2022-11-25 00:00:00+00:00,-0.41,54149.19,2022-11,savings
2022-11-25 00:00:00+00:00,-36.59,54185.78,2022-11,shopping
2022-11-25 00:00:00+00:00,-0.5,54186.28,2022-11,savings
2022-11-25 00:00:00+00:00,-13.21,54199.49,2022-11,entertainment
2022-11-23 00:00:00+00:00,-40.55,54240.04,2022-11,finances
2022-11-23 00:00:00+00:00,32.5,54207.54,2022-11,transfer
2022-11-23 00:00:00+00:00,-100.0,54307.54,2022-11,transfer
2022-11-23 00:00:00+00:00,-1.57,54309.11,2022-11,savings
2022-11-23 00:00:00+00:00,-20.0,54329.11,2022-11,transfer
2022-11-22 00:00:00+00:00,-5.0,54334.11,2022-11,shopping
2022-11-22 00:00:00+00:00,-0.01,54334.12,2022-11,savings
2022-11-22 00:00:00+00:00,-37.3,54371.42,2022-11,bills and utilities
2022-11-22 00:00:00+00:00,-36.59,54408.01,2022-11,shopping
